product,subproduct,parameter,site,rows
FilterBased,ChemSpecPM10,PM10 mass,AEAZ,17
FilterBased,ChemSpecPM10,Sodium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Aluminum PM10,AEAZ,17
FilterBased,ChemSpecPM10,Silicon PM10,AEAZ,17
FilterBased,ChemSpecPM10,Sulfur PM10,AEAZ,17
FilterBased,ChemSpecPM10,Chlorine PM10,AEAZ,17
FilterBased,ChemSpecPM10,Potassium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Calcium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Titanium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Vanadium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Iron PM10,AEAZ,17
FilterBased,ChemSpecPM10,Zinc PM10,AEAZ,17
FilterBased,ChemSpecPM10,Cerium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Lead PM10,AEAZ,17
FilterBased,ChemSpecPM10,Arsenic PM10,AEAZ,17
FilterBased,ChemSpecPM10,Cobalt PM10,AEAZ,17
FilterBased,ChemSpecPM10,Chromium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Copper PM10,AEAZ,17
FilterBased,ChemSpecPM10,Magnesium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Manganese PM10,AEAZ,17
FilterBased,ChemSpecPM10,Nickel PM10,AEAZ,17
FilterBased,ChemSpecPM10,Antimony PM10,AEAZ,17
FilterBased,ChemSpecPM10,Rubidium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Strontium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Cadmium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Selenium PM10,AEAZ,17
FilterBased,ChemSpecPM10,Tin PM10,AEAZ,17
FilterBased,ChemSpecPM10,BC PM10,AEAZ,17
FilterBased,ChemSpecPM10,Nitrate Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Sulfate Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Sodium Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Ammonium Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Potassium Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Magnesium Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Calcium Ion PM10,AEAZ,16
FilterBased,ChemSpecPM10,Equivalent BC PM10,AEAZ,14
FilterBased,ChemSpecPM10,Nitrite Ion PM10,AEAZ,9
FilterBased,ChemSpecPM10,Phosphate Ion PM10,AEAZ,4
FilterBased,ChemSpecPM10,Bromide Ion PM10,AEAZ,3
FilterBased,ChemSpecPM10,Nitrate Ion PM10,AUMN,15
FilterBased,ChemSpecPM10,PM10 mass,AUMN,13
FilterBased,ChemSpecPM10,Sulfate Ion PM10,AUMN,13
FilterBased,ChemSpecPM10,Sodium Ion PM10,AUMN,13
FilterBased,ChemSpecPM10,Ammonium Ion PM10,AUMN,13
FilterBased,ChemSpecPM10,Potassium Ion PM10,AUMN,13
FilterBased,ChemSpecPM10,Magnesium Ion PM10,AUMN,13
FilterBased,ChemSpecPM10,Calcium Ion PM10,AUMN,13
FilterBased,ChemSpecPM10,Nitrite Ion PM10,AUMN,12
FilterBased,ChemSpecPM10,Sodium PM10,AUMN,12
FilterBased,ChemSpecPM10,Aluminum PM10,AUMN,12
FilterBased,ChemSpecPM10,Silicon PM10,AUMN,12
FilterBased,ChemSpecPM10,Sulfur PM10,AUMN,12
